0.260942,7750.015471,0.258361
0.260931,7750.035512,0.258351
0.260917,7750.061325,0.258337
0.260899,7750.096410,0.258318
0.260877,7750.137220,0.258296
0.260856,7750.176916,0.258275
0.260834,7750.217507,0.258254
0.260813,7750.257806,0.258232
0.260792,7750.296279,0.258212
0.260772,7750.334796,0.258191
0.260752,7750.371742,0.258171
0.260733,7750.407122,0.258153
0.260715,7750.441687,0.258134
0.260697,7750.475561,0.258116
0.260680,7750.507126,0.258099
0.260663,7750.537771,0.258083
0.260648,7750.566763,0.258067
0.260633,7750.594221,0.258053
0.260619,7750.619843,0.258039
0.260607,7750.643504,0.258026
0.260595,7750.664669,0.258015
0.260585,7750.684167,0.258005
0.260576,7750.701404,0.257995
0.260567,7750.716869,0.257987
0.260560,7750.730111,0.257980
0.260554,7750.741717,0.257974
0.260549,7750.751456,0.257969
0.260544,7750.760250,0.257964
0.260540,7750.767719,0.257960
0.260537,7750.774682,0.257956
0.260533,7750.780961,0.257953
0.260530,7750.786279,0.257950
0.260528,7750.790991,0.257947
0.260526,7750.794718,0.257945
0.260524,7750.797915,0.257944
0.260523,7750.800378,0.257942
0.260522,7750.802005,0.257942
0.260521,7750.802799,0.257941
0.260521,7750.803011,0.257941
0.260521,7750.803636,0.257941
0.260521,7750.803706,0.257941
0.260521,7750.804075,0.257940
0.260520,7750.805103,0.257940
0.260520,7750.806296,0.257939
0.260519,7750.807282,0.257939
0.260519,7750.808275,0.257938
0.260517,7750.810485,0.257937
0.260517,7750.811870,0.257936
0.260516,7750.813618,0.257935
0.260514,7750.816037,0.257934
0.260513,7750.818323,0.257933
0.260512,7750.821335,0.257931
0.260510,7750.824220,0.257930
0.260508,7750.827988,0.257928
0.260506,7750.832165,0.257925
0.260503,7750.836979,0.257923
0.260501,7750.841927,0.257920
0.260497,7750.847908,0.257917
0.260494,7750.853925,0.257914
0.260491,7750.860348,0.257910
0.260487,7750.866630,0.257907
0.260484,7750.873494,0.257903
0.260480,7750.880869,0.257899
0.260475,7750.889203,0.257895
0.260471,7750.897069,0.257891
0.260467,7750.905199,0.257886
0.260462,7750.913567,0.257882
0.260458,7750.922255,0.257877
0.260453,7750.931730,0.257872
0.260448,7750.940755,0.257867
0.260443,7750.950340,0.257862
0.260438,7750.959496,0.257857
0.260433,7750.968998,0.257852
0.260427,7750.978616,0.257847
0.260423,7750.987680,0.257842
0.260418,7750.996697,0.257837
0.260413,7751.005537,0.257833
0.260408,7751.014295,0.257828
0.260404,7751.023186,0.257823
0.260399,7751.032238,0.257818
0.260394,7751.041423,0.257814
0.260390,7751.049432,0.257809
0.260386,7751.056773,0.257805
0.260382,7751.063994,0.257801
0.260377,7751.072247,0.257797
0.260373,7751.079573,0.257793
0.260370,7751.086843,0.257789
0.260366,7751.093314,0.257786
0.260363,7751.099207,0.257783
0.260360,7751.105484,0.257779
0.260357,7751.110902,0.257776
0.260354,7751.116663,0.257773
0.260351,7751.121646,0.257771
